source	target
<EVENT> They sold of her favorite cake <EVENT> His elated grandma couldn't tell the difference <EVENT> He went to her favorite bakery <EVENT> Tony needed to buy his grandma a birthday present	<EVENT> needed <ARGS> Tony needed to buy his grandma a birthday present <EVENT> went <ARGS> He went to her favorite bakery <EVENT> sold <ARGS> They sold of her favorite cake <EVENT> tell <ARGS> His elated grandma couldn't tell the difference
<EVENT> Bob burned with it <EVENT> Unfortunately the gas light in his attic ignited	<EVENT> ignited <ARGS> Unfortunately the gas light in his attic ignited <EVENT> burned <ARGS> Bob burned with it
<EVENT> when he glanced at his car <EVENT> his car repainted <EVENT> Jim went to the repair shop to have his car repainted <EVENT> Someone keyed his car all across the hood and passenger door	<EVENT> keyed <ARGS> Someone keyed his car all across the hood and passenger door <EVENT> glanced <ARGS> when he glanced at his car <EVENT> went <ARGS> Jim went to the repair shop to have his car repainted <EVENT> repainted <ARGS> his car repainted
<EVENT> She watched the wind blowing palm leaves all around <EVENT> Kim hunkered down at home as a hurricane blew through town <EVENT> She hoping all would be well <EVENT> She went to sleep hoping all would be well	<EVENT> hunkered <ARGS> Kim hunkered down at home as a hurricane blew through town <EVENT> watched <ARGS> She watched the wind blowing palm leaves all around <EVENT> went <ARGS> She went to sleep hoping all would be well <EVENT> hoping <ARGS> She hoping all would be well
<EVENT> Cindy never blamed her dog for eating it <EVENT> Cindy never did homework	<EVENT> did <ARGS> Cindy never did homework <EVENT> blamed <ARGS> Cindy never blamed her dog for eating it
<EVENT> Amy vowed to never walk down this block again <EVENT> Amy never walk down this block again <EVENT> Amy could see it was a girl	<EVENT> see <ARGS> Amy could see it was a girl <EVENT> vowed <ARGS> Amy vowed to never walk down this block again <EVENT> walk <ARGS> Amy never walk down this block again
<EVENT> the local exterminator who went to Gary's house quickly <EVENT> While looking at his bard he noticed everything had small bite marks <EVENT> he had mice <EVENT> After the exterminator killed all of the rats Gary felt peace <EVENT> Gary called the local exterminator, who went to Gary's house quickly	<EVENT> noticed <ARGS> While looking at his bard he noticed everything had small bite marks <EVENT> had <ARGS> he had mice <EVENT> called <ARGS> Gary called the local exterminator, who went to Gary's house quickly <EVENT> went <ARGS> the local exterminator who went to Gary's house quickly <EVENT> felt <ARGS> After the exterminator killed all of the rats Gary felt peace
<EVENT> It was cinnamon <EVENT> She couldn't tell what it was right away	<EVENT> tell <ARGS> She couldn't tell what it was right away <EVENT> was <ARGS> It was cinnamon
<EVENT> Amy lost an assignment when her laptop dies <EVENT> The professor granted her an 8 hour extension <EVENT> when her laptop dies <EVENT> She begged her professor for an extension to finish <EVENT> she finish on time <EVENT> Amy worked till she was exhausted	<EVENT> dies <ARGS> when her laptop dies <EVENT> lost <ARGS> Amy lost an assignment when her laptop dies <EVENT> begged <ARGS> She begged her professor for an extension to finish <EVENT> granted <ARGS> The professor granted her an 8 hour extension <EVENT> worked <ARGS> Amy worked till she was exhausted <EVENT> finish <ARGS> she finish on time
<EVENT> Chris not looking to going to the symphony <EVENT> Chris going to the symphony	<EVENT> looking <ARGS> Chris not looking to going to the symphony <EVENT> going <ARGS> Chris going to the symphony
<EVENT> I told him that didn't have enough rubles, only Swedish krona <EVENT> To my surprise the seller took the Swedish krona <EVENT> The seller asked for more rubles than what I had	<EVENT> asked <ARGS> The seller asked for more rubles than what I had <EVENT> told <ARGS> I told him that didn't have enough rubles, only Swedish krona <EVENT> took <ARGS> To my surprise the seller took the Swedish krona
<EVENT> The owner not adopt the kitten out <EVENT> The owner decided not to adopt the kitten out	<EVENT> decided <ARGS> The owner decided not to adopt the kitten out <EVENT> adopt <ARGS> The owner not adopt the kitten out
<EVENT> We waited in the car for awhile until the rest of the kids returned <EVENT> We slowly made our way down to the car	<EVENT> made <ARGS> We slowly made our way down to the car <EVENT> waited <ARGS> We waited in the car for awhile until the rest of the kids returned
<EVENT> She realized that it had separated weirdly <EVENT> Maggie drinking some green juice <EVENT> She threw the juice <EVENT> When she went to get another sip it tasted odd	<EVENT> drinking <ARGS> Maggie drinking some green juice <EVENT> tasted <ARGS> When she went to get another sip it tasted odd <EVENT> realized <ARGS> She realized that it had separated weirdly <EVENT> threw <ARGS> She threw the juice
<EVENT> She decides to change her ways <EVENT> She becomes vegan	<EVENT> decides <ARGS> She decides to change her ways <EVENT> becomes <ARGS> She becomes vegan
<EVENT> The clerk offered him a snake <EVENT> The clerk thought hard	<EVENT> offered <ARGS> The clerk offered him a snake <EVENT> thought <ARGS> The clerk thought hard
<EVENT> He inject steroids to improve his performance <EVENT> Tom became happier as a result of his stellar bartball performances <EVENT> Tom was on the high school bartball team <EVENT> He decided to inject steroids to improve his performance <EVENT> He became a better bartball player	<EVENT> was <ARGS> Tom was on the high school bartball team <EVENT> decided <ARGS> He decided to inject steroids to improve his performance <EVENT> inject <ARGS> He inject steroids to improve his performance <EVENT> became <ARGS> He became a better bartball player <EVENT> became <ARGS> Tom became happier as a result of his stellar bartball performances
